BioSamples,Tissue,Chemotype,Cultivar,Treatment,Pubmed,BioProject,Instrument,Layout,Selection_method,SRA_sample,SRA_study,Study_title,Study_abstract,Date,Origin
SAMN15042936,Leaf,Type III,Hanma 2,NA,NA,PRJNA635553,Illumina NovaSeq 6000,PAIRED,PCR,SRS6746326,SRP265442,Cannabis sativa cultivar:Hanma 2 Raw sequence reads,"At the three-leaf stage, plants were sprayed 40 mg/L uniconazole solution, and the others were sprayed distilled water. After spraying 48 h, the plants were subjected to drought stress for 2 and 4 days, the fully expanded third leaves from the base were harvested for RNA sequencing (RNA-seq). The overall objective of the study was to elucidate a putative involvement of uniconazole in hemp in response to drought stress.",2020-06-01 06:10:33,China:Daqing
SAMN15042923,Leaf,Type III,Hanma 2,NA,NA,PRJNA635553,Illumina NovaSeq 6000,PAIRED,PCR,SRS6746325,SRP265442,Cannabis sativa cultivar:Hanma 2 Raw sequence reads,"At the three-leaf stage, plants were sprayed 40 mg/L uniconazole solution, and the others were sprayed distilled water. After spraying 48 h, the plants were subjected to drought stress for 2 and 4 days, the fully expanded third leaves from the base were harvested for RNA sequencing (RNA-seq). The overall objective of the study was to elucidate a putative involvement of uniconazole in hemp in response to drought stress.",2020-06-01 06:14:30,China:Daqing
SAMN15042922,Leaf,Type III,Hanma 2,NA,NA,PRJNA635553,Illumina NovaSeq 6000,PAIRED,PCR,SRS6746324,SRP265442,Cannabis sativa cultivar:Hanma 2 Raw sequence reads,"At the three-leaf stage, plants were sprayed 40 mg/L uniconazole solution, and the others were sprayed distilled water. After spraying 48 h, the plants were subjected to drought stress for 2 and 4 days, the fully expanded third leaves from the base were harvested for RNA sequencing (RNA-seq). The overall objective of the study was to elucidate a putative involvement of uniconazole in hemp in response to drought stress.",2020-06-01 06:11:16,China:Daqing
SAMN15043219,Leaf,Type III,Hanma 2,NA,NA,PRJNA635553,Illumina NovaSeq 6000,PAIRED,PCR,SRS6746323,SRP265442,Cannabis sativa cultivar:Hanma 2 Raw sequence reads,"At the three-leaf stage, plants were sprayed 40 mg/L uniconazole solution, and the others were sprayed distilled water. After spraying 48 h, the plants were subjected to drought stress for 2 and 4 days, the fully expanded third leaves from the base were harvested for RNA sequencing (RNA-seq). The overall objective of the study was to elucidate a putative involvement of uniconazole in hemp in response to drought stress.",2020-06-01 06:10:33,China:Daqing
SAMN15043217,Leaf,Type III,Hanma 2,NA,NA,PRJNA635553,Illumina NovaSeq 6000,PAIRED,PCR,SRS6746322,SRP265442,Cannabis sativa cultivar:Hanma 2 Raw sequence reads,"At the three-leaf stage, plants were sprayed 40 mg/L uniconazole solution, and the others were sprayed distilled water. After spraying 48 h, the plants were subjected to drought stress for 2 and 4 days, the fully expanded third leaves from the base were harvested for RNA sequencing (RNA-seq). The overall objective of the study was to elucidate a putative involvement of uniconazole in hemp in response to drought stress.",2020-06-01 06:13:22,China:Daqing
SAMN15042921,Leaf,Type III,Hanma 2,NA,NA,PRJNA635553,Illumina NovaSeq 6000,PAIRED,PCR,SRS6746321,SRP265442,Cannabis sativa cultivar:Hanma 2 Raw sequence reads,"At the three-leaf stage, plants were sprayed 40 mg/L uniconazole solution, and the others were sprayed distilled water. After spraying 48 h, the plants were subjected to drought stress for 2 and 4 days, the fully expanded third leaves from the base were harvested for RNA sequencing (RNA-seq). The overall objective of the study was to elucidate a putative involvement of uniconazole in hemp in response to drought stress.",2020-06-01 06:10:33,China:Daqing
SAMN15042905,Leaf,Type III,Hanma 2,NA,NA,PRJNA635553,Illumina NovaSeq 6000,PAIRED,PCR,SRS6746320,SRP265442,Cannabis sativa cultivar:Hanma 2 Raw sequence reads,"At the three-leaf stage, plants were sprayed 40 mg/L uniconazole solution, and the others were sprayed distilled water. After spraying 48 h, the plants were subjected to drought stress for 2 and 4 days, the fully expanded third leaves from the base were harvested for RNA sequencing (RNA-seq). The overall objective of the study was to elucidate a putative involvement of uniconazole in hemp in response to drought stress.",2020-06-01 06:16:30,China:Daqing
SAMN15000310,Leaf,Type III,X59,NA,NA,PRJNA634569,Illumina HiSeq 2500,PAIRED,RANDOM,SRS6697837,SRP263033,Cannabis sativa powdery mildew exposure,"Cannabis sativa leaves were treated with spores of the fungus Golovinomyces cichoracearum, which causes powdery mildew, and RNA was extract from the leaves at early stages of disease development.",2021-06-30 00:33:56,Canada: Alberta
SAMN15000309,Leaf,Type III,X59,NA,NA,PRJNA634569,Illumina HiSeq 2500,PAIRED,RANDOM,SRS6697839,SRP263033,Cannabis sativa powdery mildew exposure,"Cannabis sativa leaves were treated with spores of the fungus Golovinomyces cichoracearum, which causes powdery mildew, and RNA was extract from the leaves at early stages of disease development.",2021-06-30 00:33:56,Canada: Alberta
SAMN15000308,Leaf,Type III,X59,NA,NA,PRJNA634569,Illumina HiSeq 2500,PAIRED,RANDOM,SRS6697838,SRP263033,Cannabis sativa powdery mildew exposure,"Cannabis sativa leaves were treated with spores of the fungus Golovinomyces cichoracearum, which causes powdery mildew, and RNA was extract from the leaves at early stages of disease development.",2021-06-30 00:33:56,Canada: Alberta
SAMN15000307,Leaf,Type III,X59,NA,NA,PRJNA634569,Illumina HiSeq 2500,PAIRED,RANDOM,SRS6697835,SRP263033,Cannabis sativa powdery mildew exposure,"Cannabis sativa leaves were treated with spores of the fungus Golovinomyces cichoracearum, which causes powdery mildew, and RNA was extract from the leaves at early stages of disease development.",2021-06-30 00:33:56,Canada: Alberta
SAMN15000306,Leaf,Type III,X59,NA,NA,PRJNA634569,Illumina HiSeq 2500,PAIRED,RANDOM,SRS6697836,SRP263033,Cannabis sativa powdery mildew exposure,"Cannabis sativa leaves were treated with spores of the fungus Golovinomyces cichoracearum, which causes powdery mildew, and RNA was extract from the leaves at early stages of disease development.",2021-06-30 00:33:56,Canada: Alberta
SAMN15000305,Leaf,Type III,X59,NA,NA,PRJNA634569,Illumina HiSeq 2500,PAIRED,RANDOM,SRS6697834,SRP263033,Cannabis sativa powdery mildew exposure,"Cannabis sativa leaves were treated with spores of the fungus Golovinomyces cichoracearum, which causes powdery mildew, and RNA was extract from the leaves at early stages of disease development.",2021-06-30 00:33:56,Canada: Alberta
SAMN15000304,Leaf,Type III,X59,NA,NA,PRJNA634569,Illumina HiSeq 2500,PAIRED,RANDOM,SRS6697833,SRP263033,Cannabis sativa powdery mildew exposure,"Cannabis sativa leaves were treated with spores of the fungus Golovinomyces cichoracearum, which causes powdery mildew, and RNA was extract from the leaves at early stages of disease development.",2021-06-30 00:33:56,Canada: Alberta
SAMN15000303,Leaf,Type III,X59,NA,NA,PRJNA634569,Illumina HiSeq 2500,PAIRED,RANDOM,SRS6697832,SRP263033,Cannabis sativa powdery mildew exposure,"Cannabis sativa leaves were treated with spores of the fungus Golovinomyces cichoracearum, which causes powdery mildew, and RNA was extract from the leaves at early stages of disease development.",2021-06-30 00:33:56,Canada: Alberta
SAMN15000312,Leaf,Type III,X59,NA,NA,PRJNA634569,Illumina HiSeq 2500,PAIRED,RANDOM,SRS6697831,SRP263033,Cannabis sativa powdery mildew exposure,"Cannabis sativa leaves were treated with spores of the fungus Golovinomyces cichoracearum, which causes powdery mildew, and RNA was extract from the leaves at early stages of disease development.",2021-06-30 00:33:56,Canada: Alberta
SAMN15000311,Leaf,Type III,X59,NA,NA,PRJNA634569,Illumina HiSeq 2500,PAIRED,RANDOM,SRS6697828,SRP263033,Cannabis sativa powdery mildew exposure,"Cannabis sativa leaves were treated with spores of the fungus Golovinomyces cichoracearum, which causes powdery mildew, and RNA was extract from the leaves at early stages of disease development.",2021-06-30 00:33:56,Canada: Alberta
SAMN15000302,Leaf,Type III,X59,NA,NA,PRJNA634569,Illumina HiSeq 2500,PAIRED,RANDOM,SRS6697830,SRP263033,Cannabis sativa powdery mildew exposure,"Cannabis sativa leaves were treated with spores of the fungus Golovinomyces cichoracearum, which causes powdery mildew, and RNA was extract from the leaves at early stages of disease development.",2021-06-30 00:33:56,Canada: Alberta
SAMN15000301,Leaf,Type III,X59,NA,NA,PRJNA634569,Illumina HiSeq 2500,PAIRED,RANDOM,SRS6697829,SRP263033,Cannabis sativa powdery mildew exposure,"Cannabis sativa leaves were treated with spores of the fungus Golovinomyces cichoracearum, which causes powdery mildew, and RNA was extract from the leaves at early stages of disease development.",2021-06-30 00:33:56,Canada: Alberta
SAMN13750440,Trichome,Type I,Lemon_Skunk,NA,NA,PRJNA599437,Illumina HiSeq 4000,PAIRED,RANDOM,SRS5979962,SRP241248,Terpene synthases in Cannabis sativa cultivars,"The goal of this study was to identify terpene synthases expressed in the floral glandular trichomes of five cannabis cultivars: Lemon Skunk, Chocolope, Afghan Kush, CBD Skunk Haze, and Blue Cheese. Glandular trichomes were isolated from the flowers of thee female clones for each cultivar. Terpene synthase candidates were identified and their expression compared across the samples.",2020-12-31 00:01:44,Canada: Vancouver
SAMN13750439,Trichome,Type I,Lemon_Skunk,NA,NA,PRJNA599437,Illumina HiSeq 4000,PAIRED,RANDOM,SRS5979970,SRP241248,Terpene synthases in Cannabis sativa cultivars,"The goal of this study was to identify terpene synthases expressed in the floral glandular trichomes of five cannabis cultivars: Lemon Skunk, Chocolope, Afghan Kush, CBD Skunk Haze, and Blue Cheese. Glandular trichomes were isolated from the flowers of thee female clones for each cultivar. Terpene synthase candidates were identified and their expression compared across the samples.",2020-12-31 00:01:44,Canada: Vancouver
SAMN13750452,Trichome,Type I,Blue_Cheese,NA,NA,PRJNA599437,Illumina HiSeq 4000,PAIRED,RANDOM,SRS5979975,SRP241248,Terpene synthases in Cannabis sativa cultivars,"The goal of this study was to identify terpene synthases expressed in the floral glandular trichomes of five cannabis cultivars: Lemon Skunk, Chocolope, Afghan Kush, CBD Skunk Haze, and Blue Cheese. Glandular trichomes were isolated from the flowers of thee female clones for each cultivar. Terpene synthase candidates were identified and their expression compared across the samples.",2020-12-31 00:01:44,Canada: Vancouver
SAMN13750451,Trichome,Type I,Blue_Cheese,NA,NA,PRJNA599437,Illumina HiSeq 4000,PAIRED,RANDOM,SRS5979974,SRP241248,Terpene synthases in Cannabis sativa cultivars,"The goal of this study was to identify terpene synthases expressed in the floral glandular trichomes of five cannabis cultivars: Lemon Skunk, Chocolope, Afghan Kush, CBD Skunk Haze, and Blue Cheese. Glandular trichomes were isolated from the flowers of thee female clones for each cultivar. Terpene synthase candidates were identified and their expression compared across the samples.",2020-12-31 00:01:44,Canada: Vancouver
SAMN13750450,Trichome,Type I,Blue_Cheese,NA,NA,PRJNA599437,Illumina HiSeq 4000,PAIRED,RANDOM,SRS5979973,SRP241248,Terpene synthases in Cannabis sativa cultivars,"The goal of this study was to identify terpene synthases expressed in the floral glandular trichomes of five cannabis cultivars: Lemon Skunk, Chocolope, Afghan Kush, CBD Skunk Haze, and Blue Cheese. Glandular trichomes were isolated from the flowers of thee female clones for each cultivar. Terpene synthase candidates were identified and their expression compared across the samples.",2020-12-31 00:01:44,Canada: Vancouver
SAMN13750449,Trichome,Type I,CBD_Skunk_Haze,NA,NA,PRJNA599437,Illumina HiSeq 4000,PAIRED,RANDOM,SRS5979972,SRP241248,Terpene synthases in Cannabis sativa cultivars,"The goal of this study was to identify terpene synthases expressed in the floral glandular trichomes of five cannabis cultivars: Lemon Skunk, Chocolope, Afghan Kush, CBD Skunk Haze, and Blue Cheese. Glandular trichomes were isolated from the flowers of thee female clones for each cultivar. Terpene synthase candidates were identified and their expression compared across the samples.",2020-12-31 00:01:44,Canada: Vancouver
SAMN13750447,Trichome,Type I,CBD_Skunk_Haze,NA,NA,PRJNA599437,Illumina HiSeq 4000,PAIRED,RANDOM,SRS5979969,SRP241248,Terpene synthases in Cannabis sativa cultivars,"The goal of this study was to identify terpene synthases expressed in the floral glandular trichomes of five cannabis cultivars: Lemon Skunk, Chocolope, Afghan Kush, CBD Skunk Haze, and Blue Cheese. Glandular trichomes were isolated from the flowers of thee female clones for each cultivar. Terpene synthase candidates were identified and their expression compared across the samples.",2020-12-31 00:01:44,Canada: Vancouver
SAMN13750446,Trichome,Type I,Afghan_Kush,NA,NA,PRJNA599437,Illumina HiSeq 4000,PAIRED,RANDOM,SRS5979968,SRP241248,Terpene synthases in Cannabis sativa cultivars,"The goal of this study was to identify terpene synthases expressed in the floral glandular trichomes of five cannabis cultivars: Lemon Skunk, Chocolope, Afghan Kush, CBD Skunk Haze, and Blue Cheese. Glandular trichomes were isolated from the flowers of thee female clones for each cultivar. Terpene synthase candidates were identified and their expression compared across the samples.",2020-12-31 00:01:44,Canada: Vancouver
SAMN13750445,Trichome,Type I,Afghan_Kush,NA,NA,PRJNA599437,Illumina HiSeq 4000,PAIRED,RANDOM,SRS5979967,SRP241248,Terpene synthases in Cannabis sativa cultivars,"The goal of this study was to identify terpene synthases expressed in the floral glandular trichomes of five cannabis cultivars: Lemon Skunk, Chocolope, Afghan Kush, CBD Skunk Haze, and Blue Cheese. Glandular trichomes were isolated from the flowers of thee female clones for each cultivar. Terpene synthase candidates were identified and their expression compared across the samples.",2020-12-31 00:01:44,Canada: Vancouver
SAMN13750438,Trichome,Type I,Lemon_Skunk,NA,NA,PRJNA599437,Illumina HiSeq 4000,PAIRED,RANDOM,SRS5979961,SRP241248,Terpene synthases in Cannabis sativa cultivars,"The goal of this study was to identify terpene synthases expressed in the floral glandular trichomes of five cannabis cultivars: Lemon Skunk, Chocolope, Afghan Kush, CBD Skunk Haze, and Blue Cheese. Glandular trichomes were isolated from the flowers of thee female clones for each cultivar. Terpene synthase candidates were identified and their expression compared across the samples.",2020-12-31 00:01:43,Canada: Vancouver
SAMN13750444,Trichome,Type I,Afghan_Kush,NA,NA,PRJNA599437,Illumina HiSeq 4000,PAIRED,RANDOM,SRS5979966,SRP241248,Terpene synthases in Cannabis sativa cultivars,"The goal of this study was to identify terpene synthases expressed in the floral glandular trichomes of five cannabis cultivars: Lemon Skunk, Chocolope, Afghan Kush, CBD Skunk Haze, and Blue Cheese. Glandular trichomes were isolated from the flowers of thee female clones for each cultivar. Terpene synthase candidates were identified and their expression compared across the samples.",2020-12-31 00:01:43,Canada: Vancouver
SAMN13750443,Trichome,Type I,Chocolope,NA,NA,PRJNA599437,Illumina HiSeq 4000,PAIRED,RANDOM,SRS5979965,SRP241248,Terpene synthases in Cannabis sativa cultivars,"The goal of this study was to identify terpene synthases expressed in the floral glandular trichomes of five cannabis cultivars: Lemon Skunk, Chocolope, Afghan Kush, CBD Skunk Haze, and Blue Cheese. Glandular trichomes were isolated from the flowers of thee female clones for each cultivar. Terpene synthase candidates were identified and their expression compared across the samples.",2020-12-31 00:01:43,Canada: Vancouver
SAMN13750442,Trichome,Type I,Chocolope,NA,NA,PRJNA599437,Illumina HiSeq 4000,PAIRED,RANDOM,SRS5979964,SRP241248,Terpene synthases in Cannabis sativa cultivars,"The goal of this study was to identify terpene synthases expressed in the floral glandular trichomes of five cannabis cultivars: Lemon Skunk, Chocolope, Afghan Kush, CBD Skunk Haze, and Blue Cheese. Glandular trichomes were isolated from the flowers of thee female clones for each cultivar. Terpene synthase candidates were identified and their expression compared across the samples.",2020-12-31 00:01:43,Canada: Vancouver
SAMN13750441,Trichome,Type I,Chocolope,NA,NA,PRJNA599437,Illumina HiSeq 4000,PAIRED,RANDOM,SRS5979963,SRP241248,Terpene synthases in Cannabis sativa cultivars,"The goal of this study was to identify terpene synthases expressed in the floral glandular trichomes of five cannabis cultivars: Lemon Skunk, Chocolope, Afghan Kush, CBD Skunk Haze, and Blue Cheese. Glandular trichomes were isolated from the flowers of thee female clones for each cultivar. Terpene synthase candidates were identified and their expression compared across the samples.",2020-12-31 00:01:43,Canada: Vancouver
SAMN13503310,Leaf,Type II,Cannbio-male,NA,31719627,PRJNA560453,Illumina HiSeq 3000,PAIRED,RANDOM,SRS5774440,SRP234963,Cannabis sativa Transcriptome or Gene expression,Comprehensive transcriptome assembly was generated for the Cannabis plant species. Differential gene expression analysis identified genes preferentially expressed in different tissues and across various developmental stages of female flower development. The study provides a significant resource in cannabis for further research of functional genomics to improve the yield of specialised metabolites with high pharmacological value.,2019-12-09 05:17:17,Australia: Melbourne
SAMN13503309,Flower_male,Type II,Cannbio-male,NA,31719627,PRJNA560453,Illumina HiSeq 3000,PAIRED,RANDOM,SRS5774438,SRP234963,Cannabis sativa Transcriptome or Gene expression,Comprehensive transcriptome assembly was generated for the Cannabis plant species. Differential gene expression analysis identified genes preferentially expressed in different tissues and across various developmental stages of female flower development. The study provides a significant resource in cannabis for further research of functional genomics to improve the yield of specialised metabolites with high pharmacological value.,2019-12-09 05:17:17,Australia: Melbourne
SAMN13503307,Flower_male,Type II,Cannbio-male,NA,31719627,PRJNA560453,Illumina HiSeq 3000,PAIRED,RANDOM,SRS5774436,SRP234963,Cannabis sativa Transcriptome or Gene expression,Comprehensive transcriptome assembly was generated for the Cannabis plant species. Differential gene expression analysis identified genes preferentially expressed in different tissues and across various developmental stages of female flower development. The study provides a significant resource in cannabis for further research of functional genomics to improve the yield of specialised metabolites with high pharmacological value.,2019-12-09 05:17:17,Australia: Melbourne
SAMN13503306,Flower_male,Type II,Cannbio-male,NA,31719627,PRJNA560453,Illumina HiSeq 3000,PAIRED,RANDOM,SRS5774435,SRP234963,Cannabis sativa Transcriptome or Gene expression,Comprehensive transcriptome assembly was generated for the Cannabis plant species. Differential gene expression analysis identified genes preferentially expressed in different tissues and across various developmental stages of female flower development. The study provides a significant resource in cannabis for further research of functional genomics to improve the yield of specialised metabolites with high pharmacological value.,2019-12-09 05:17:17,Australia: Melbourne
SAMN13503305,Flower_male,Type II,Cannbio-male,NA,31719627,PRJNA560453,Illumina HiSeq 3000,PAIRED,RANDOM,SRS5774434,SRP234963,Cannabis sativa Transcriptome or Gene expression,Comprehensive transcriptome assembly was generated for the Cannabis plant species. Differential gene expression analysis identified genes preferentially expressed in different tissues and across various developmental stages of female flower development. The study provides a significant resource in cannabis for further research of functional genomics to improve the yield of specialised metabolites with high pharmacological value.,2019-12-09 05:17:17,Australia: Melbourne
SAMN13503304,Flower_male,Type II,Cannbio-male,NA,31719627,PRJNA560453,Illumina HiSeq 3000,PAIRED,RANDOM,SRS5774433,SRP234963,Cannabis sativa Transcriptome or Gene expression,Comprehensive transcriptome assembly was generated for the Cannabis plant species. Differential gene expression analysis identified genes preferentially expressed in different tissues and across various developmental stages of female flower development. The study provides a significant resource in cannabis for further research of functional genomics to improve the yield of specialised metabolites with high pharmacological value.,2019-12-09 05:17:17,Australia: Melbourne
SAMN13503303,Root,Type II,Cannbio-2,NA,31719627,PRJNA560453,Illumina HiSeq 3000,PAIRED,RANDOM,SRS5774432,SRP234963,Cannabis sativa Transcriptome or Gene expression,Comprehensive transcriptome assembly was generated for the Cannabis plant species. Differential gene expression analysis identified genes preferentially expressed in different tissues and across various developmental stages of female flower development. The study provides a significant resource in cannabis for further research of functional genomics to improve the yield of specialised metabolites with high pharmacological value.,2019-12-09 05:17:17,Australia: Melbourne
SAMN13503302,Root,Type II,Cannbio-2,NA,31719627,PRJNA560453,Illumina HiSeq 3000,PAIRED,RANDOM,SRS5774431,SRP234963,Cannabis sativa Transcriptome or Gene expression,Comprehensive transcriptome assembly was generated for the Cannabis plant species. Differential gene expression analysis identified genes preferentially expressed in different tissues and across various developmental stages of female flower development. The study provides a significant resource in cannabis for further research of functional genomics to improve the yield of specialised metabolites with high pharmacological value.,2019-12-09 05:17:17,Australia: Melbourne
SAMN13503299,Flower_female,Type II,Cannbio-2,NA,31719627,PRJNA560453,Illumina HiSeq 3000,PAIRED,RANDOM,SRS5774427,SRP234963,Cannabis sativa Transcriptome or Gene expression,Comprehensive transcriptome assembly was generated for the Cannabis plant species. Differential gene expression analysis identified genes preferentially expressed in different tissues and across various developmental stages of female flower development. The study provides a significant resource in cannabis for further research of functional genomics to improve the yield of specialised metabolites with high pharmacological value.,2019-12-09 05:17:17,Australia: Melbourne
SAMN13503295,Flower_female,Type II,Cannbio-2,NA,31719627,PRJNA560453,Illumina HiSeq 3000,PAIRED,RANDOM,SRS5774423,SRP234963,Cannabis sativa Transcriptome or Gene expression,Comprehensive transcriptome assembly was generated for the Cannabis plant species. Differential gene expression analysis identified genes preferentially expressed in different tissues and across various developmental stages of female flower development. The study provides a significant resource in cannabis for further research of functional genomics to improve the yield of specialised metabolites with high pharmacological value.,2019-12-09 05:17:17,Australia: Melbourne
SAMN13503292,Flower_female,Type II,Cannbio-2,NA,31719627,PRJNA560453,Illumina HiSeq 3000,PAIRED,RANDOM,SRS5774420,SRP234963,Cannabis sativa Transcriptome or Gene expression,Comprehensive transcriptome assembly was generated for the Cannabis plant species. Differential gene expression analysis identified genes preferentially expressed in different tissues and across various developmental stages of female flower development. The study provides a significant resource in cannabis for further research of functional genomics to improve the yield of specialised metabolites with high pharmacological value.,2019-12-09 05:17:17,Australia: Melbourne
SAMN13503291,Leaf,Type II,Cannbio-2,NA,31719627,PRJNA560453,Illumina HiSeq 3000,PAIRED,RANDOM,SRS5774419,SRP234963,Cannabis sativa Transcriptome or Gene expression,Comprehensive transcriptome assembly was generated for the Cannabis plant species. Differential gene expression analysis identified genes preferentially expressed in different tissues and across various developmental stages of female flower development. The study provides a significant resource in cannabis for further research of functional genomics to improve the yield of specialised metabolites with high pharmacological value.,2019-12-09 05:17:17,Australia: Melbourne
SAMN13503289,Leaf,Type II,Cannbio-2,NA,31719627,PRJNA560453,Illumina HiSeq 3000,PAIRED,RANDOM,SRS5774416,SRP234963,Cannabis sativa Transcriptome or Gene expression,Comprehensive transcriptome assembly was generated for the Cannabis plant species. Differential gene expression analysis identified genes preferentially expressed in different tissues and across various developmental stages of female flower development. The study provides a significant resource in cannabis for further research of functional genomics to improve the yield of specialised metabolites with high pharmacological value.,2019-12-09 05:17:17,Australia: Melbourne
SAMN13503275,Trichome,Type II,Cannbio-2,NA,31719627,PRJNA560453,Illumina HiSeq 3000,PAIRED,RANDOM,SRS5774401,SRP234963,Cannabis sativa Transcriptome or Gene expression,Comprehensive transcriptome assembly was generated for the Cannabis plant species. Differential gene expression analysis identified genes preferentially expressed in different tissues and across various developmental stages of female flower development. The study provides a significant resource in cannabis for further research of functional genomics to improve the yield of specialised metabolites with high pharmacological value.,2019-12-09 05:17:16,Australia: Melbourne
SAMN12904853,Leaf,Type II,Jamaican Lion Mother,NA,NA,PRJNA575581,Sequel II,SINGLE,cDNA,SRS5754787,SRP234475,Cannabis sativa Genome sequencing and assembly,"We describe the use of single molecule sequencing, assembly and annotation of a cannabis sativa breeding experiment. We shotgun sequenced and assembled a sibling pair and their offspring utilizing the Pacific Bioscience Sequel II platform. This resulted in the most contiguous cannabis sativa assemblies to date. These assemblies were further annotated with full-length mRNA sequencing (Iso-Seq) to help inform isoform complexity and gene model predictions and identify the Y chromosome. https://www.biorxiv.org/content/10.1101/2020.01.03.894428v1",2020-02-24 14:29:45,USA
SAMN12606152,Leaf,NA,JL_wild-variety,NA,32377363,PRJNA562042,HiSeq X Ten,PAIRED,PCR,SRS5306198,SRP219241,wild cannabis sativa genome project,"Cannabis Sativa is one of the earliest domesticated plant species, has great economic and ecological importance. To facilitate further utilization of this plant resource, here we present the draft genome sequence for wild Cannabis Sativa of China. We provide the first comprehensive de novo genome of the wild Cannabis Sativa which distributed in Tibet of China. This genetic resource will be of great value in future investigations of the metabolic pathways of the various cannabinoid and will aid in promoting its production in commercial applications. The assembled genome will be a valuable resource enabling further genetic improvement and more effective use of Cannabis Sativa.",2020-04-30 00:01:14,"China: Jilong, Tibet"
SAMN12151579,Flower_female,Type II,Argvana Heart (RGM),different lighting conditions,32781193,PRJNA551485,Illumina HiSeq 4000,PAIRED,RANDOM PCR,SRS5362765,SRP220727,Cannabis sativa Transcriptome or Gene expression,Comparison of multiple cultivars of Cannabis sativa,2020-10-01 00:00:49,Israel
SAMN12151537,Flower_female,Type I,Tachllta Till (TIL),different lighting conditions,32781193,PRJNA551485,Illumina HiSeq 4000,PAIRED,RANDOM PCR,SRS5358891,SRP220727,Cannabis sativa Transcriptome or Gene expression,Comparison of multiple cultivars of Cannabis sativa,2020-10-01 00:00:40,Israel
SAMN12097885,Flower_male,Type III,Zenista,NA,NA,PRJNA549804,Complete Genomics,SINGLE,cDNA,SRS4997428,SRP201948,A high-throughput segregation analysis identifies the sex chromosomes of Cannabis sativa,"Cannabis sativa-derived tetrahydrocannabinol (THC) production is increasing very fast worldwide. C. sativa is a dioecious plant with XY chromosomes, and only females (XX) are useful for THC production. The C. sativa sex chromosomes sequence would allow early sexing and better management of this crop; however, the C. sativa genome projects failed to identify the sex chromosomes so far. Moreover, dioecy (separate sexes) in the Cannabaceae family is expected to be ancestral, not clear whether the chromosomes, which are homomorphic, are of recent or more ancient origin. Here we RNA-sequenced a C. sativa family (2 parents and 10 male and female offspring) and performed a segregation analysis for all C. sativa genes using a probabilistic method, SEX-DETector. We identified >500 sex-linked genes. Mapping of these sex-linked genes to a C. sativa genome assembly identified a single chromosome pair. Further analysis of the >500 sex-linked genes revealed that C. sativa has a strongly degenerated Y chromosome and represents the oldest plant sex chromosome system documented so far.",2019-12-19 10:06:34,Russia
SAMN12097884,Flower_female,Type III,Zenista,NA,NA,PRJNA549804,Complete Genomics,SINGLE,cDNA,SRS4997427,SRP201948,A high-throughput segregation analysis identifies the sex chromosomes of Cannabis sativa,"Cannabis sativa-derived tetrahydrocannabinol (THC) production is increasing very fast worldwide. C. sativa is a dioecious plant with XY chromosomes, and only females (XX) are useful for THC production. The C. sativa sex chromosomes sequence would allow early sexing and better management of this crop; however, the C. sativa genome projects failed to identify the sex chromosomes so far. Moreover, dioecy (separate sexes) in the Cannabaceae family is expected to be ancestral, not clear whether the chromosomes, which are homomorphic, are of recent or more ancient origin. Here we RNA-sequenced a C. sativa family (2 parents and 10 male and female offspring) and performed a segregation analysis for all C. sativa genes using a probabilistic method, SEX-DETector. We identified >500 sex-linked genes. Mapping of these sex-linked genes to a C. sativa genome assembly identified a single chromosome pair. Further analysis of the >500 sex-linked genes revealed that C. sativa has a strongly degenerated Y chromosome and represents the oldest plant sex chromosome system documented so far.",2019-12-19 10:06:34,Russia
SAMN12097887,Flower_male,Type III,Zenista,NA,NA,PRJNA549804,Complete Genomics,SINGLE,cDNA,SRS4997426,SRP201948,A high-throughput segregation analysis identifies the sex chromosomes of Cannabis sativa,"Cannabis sativa-derived tetrahydrocannabinol (THC) production is increasing very fast worldwide. C. sativa is a dioecious plant with XY chromosomes, and only females (XX) are useful for THC production. The C. sativa sex chromosomes sequence would allow early sexing and better management of this crop; however, the C. sativa genome projects failed to identify the sex chromosomes so far. Moreover, dioecy (separate sexes) in the Cannabaceae family is expected to be ancestral, not clear whether the chromosomes, which are homomorphic, are of recent or more ancient origin. Here we RNA-sequenced a C. sativa family (2 parents and 10 male and female offspring) and performed a segregation analysis for all C. sativa genes using a probabilistic method, SEX-DETector. We identified >500 sex-linked genes. Mapping of these sex-linked genes to a C. sativa genome assembly identified a single chromosome pair. Further analysis of the >500 sex-linked genes revealed that C. sativa has a strongly degenerated Y chromosome and represents the oldest plant sex chromosome system documented so far.",2019-12-19 10:06:34,Russia
